No.,Time,Source,Destination,Protocol,Length,Info
188,47.978948,157.240.214.60,10.0.2.15,TLS,2838,
189,47.978948,157.240.214.60,10.0.2.15,TLS,1446,
190,47.981331,157.240.214.60,10.0.2.15,TLS,1446,
191,47.982821,157.240.214.60,10.0.2.15,TCP,1446,
192,47.984251,157.240.214.60,10.0.2.15,TLS,307,
193,48.142784,10.0.2.15,157.240.214.60,TLS,722,
194,48.162804,10.0.2.15,157.240.214.60,TLS,150,
195,48.422708,157.240.214.60,10.0.2.15,TLS,165,
196,48.424127,157.240.214.60,10.0.2.15,TLS,134,
197,48.612575,157.240.214.60,10.0.2.15,TLS,149,
198,48.695757,157.240.214.60,10.0.2.15,TLS,151,
199,49.194537,157.240.214.60,10.0.2.15,TLS,150,
200,49.547492,10.0.2.15,157.240.214.60,TLS,722,
201,49.673076,10.0.2.15,157.240.214.60,TLS,147,
202,49.675737,10.0.2.15,157.240.214.60,TLS,150,
203,49.676846,10.0.2.15,157.240.214.60,TLS,149,
204,49.83448,157.240.214.60,10.0.2.15,TLS,165,
205,50.029657,157.240.214.60,10.0.2.15,TLS,149,
206,50.125294,157.240.214.60,10.0.2.15,TLS,151,
207,50.13686,157.240.214.60,10.0.2.15,TLS,150,
208,50.661372,157.240.214.60,10.0.2.15,TLS,402,
209,51.982587,10.0.2.15,157.240.214.60,TLS,147,
210,51.984137,10.0.2.15,157.240.214.60,TLS,150,
211,51.984613,10.0.2.15,157.240.214.60,TLS,149,
212,52.119385,10.0.2.15,157.240.214.60,TLS,786,
213,52.406668,10.0.2.15,157.240.214.60,TLS,147,
214,52.421239,157.240.214.60,10.0.2.15,TLS,165,
215,52.608059,157.240.214.60,10.0.2.15,TLS,149,
216,52.687872,157.240.214.60,10.0.2.15,TLS,151,
217,52.71203,157.240.214.60,10.0.2.15,TLS,150,
218,52.760253,10.0.2.15,157.240.214.60,TLS,147,
219,52.774639,10.0.2.15,157.240.214.60,TLS,150,
220,52.7761,10.0.2.15,157.240.214.60,TLS,149,
221,57.591402,157.240.214.60,10.0.2.15,TLS,133,
222,60.105781,157.240.214.60,10.0.2.15,TLS,240,
