No.,Time,Source,Destination,Protocol,Length,Info
209,87.790716,10.0.2.15,157.240.214.60,TLS,149,
210,89.219594,157.240.214.60,10.0.2.15,TLS,151,
211,89.238511,10.0.2.15,157.240.214.60,TLS,150,
212,89.437847,10.0.2.15,157.240.214.60,TLS,124,
213,91.215786,157.240.214.60,10.0.2.15,TLS,131,
214,92.408394,157.240.214.60,10.0.2.15,TLS,318,
215,92.972171,10.0.2.15,157.240.214.60,TLS,150,
216,93.240114,10.0.2.15,157.240.214.60,TLS,162,
217,93.431529,157.240.214.60,10.0.2.15,TLS,149,
218,94.706244,10.0.2.15,157.240.214.60,TLS,124,
219,94.782061,10.0.2.15,157.240.214.60,TLS,269,
220,95.006319,157.240.214.60,10.0.2.15,TLS,165,
221,95.185116,157.240.214.60,10.0.2.15,TLS,149,
222,95.202895,10.0.2.15,157.240.214.60,TLS,147,
223,95.2673,157.240.214.60,10.0.2.15,TLS,150,
224,95.286286,10.0.2.15,157.240.214.60,TLS,149,
225,95.496871,157.240.214.60,10.0.2.15,TLS,151,
226,95.556428,10.0.2.15,157.240.214.60,TLS,150,
227,97.050189,157.240.214.60,10.0.2.15,TLS,176,
228,97.065106,10.0.2.15,157.240.214.60,TLS,152,
229,98.131966,10.0.2.15,157.240.214.60,TLS,269,
230,98.388677,157.240.214.60,10.0.2.15,TLS,165,
231,98.570679,157.240.214.60,10.0.2.15,TLS,149,
232,98.578462,10.0.2.15,157.240.214.60,TLS,147,
233,98.716377,157.240.214.60,10.0.2.15,TLS,886,
234,98.738526,157.240.214.60,10.0.2.15,TLS,150,
235,98.760415,10.0.2.15,157.240.214.60,TLS,149,
236,98.878342,10.0.2.15,157.240.214.60,TLS,147,
237,98.990682,10.0.2.15,157.240.214.60,TLS,129,
238,99.178963,157.240.214.60,10.0.2.15,TLS,1060,
239,99.682549,157.240.214.60,10.0.2.15,TLS,193,
240,99.689232,10.0.2.15,157.240.214.60,TLS,150,
241,99.971009,157.240.214.60,10.0.2.15,TLS,151,
242,100.021128,10.0.2.15,157.240.214.60,TLS,150,
243,101.9226,10.0.2.15,157.240.214.60,TLS,124,
